image,mask,id,type_1,type_2,is_legendary,is_mythical,generation,egg_group_0,egg_group_1
sprite/1_default_front_default.png,masks/1_default_front_default_mask.png,1,grass,poison,False,False,generation-i,monster,plant
sprite/1_default_front_shiny.png,masks/1_default_front_default_mask.png,1,grass,poison,False,False,generation-i,monster,plant
sprite/1_generation-iii_emerald_front_default.png,masks/1_generation-iii_emerald_front_default_mask.png,1,grass,poison,False,False,generation-i,monster,plant
sprite/1_generation-iii_emerald_front_shiny.png,masks/1_generation-iii_emerald_front_default_mask.png,1,grass,poison,False,False,generation-i,monster,plant
sprite/1_generation-iii_firered-leafgreen_front_default.png,masks/1_generation-iii_firered-leafgreen_front_default_mask.png,1,grass,poison,False,False,generation-i,monster,plant
sprite/1_generation-iii_firered-leafgreen_front_shiny.png,masks/1_generation-iii_firered-leafgreen_front_default_mask.png,1,grass,poison,False,False,generation-i,monster,plant
sprite/1_generation-iv_platinum_front_default.png,masks/1_generation-iv_platinum_front_default_mask.png,1,grass,poison,False,False,generation-i,monster,plant
sprite/1_generation-iv_platinum_front_shiny.png,masks/1_generation-iv_platinum_front_default_mask.png,1,grass,poison,False,False,generation-i,monster,plant
sprite/1_generation-iv_heartgold-soulsilver_front_default.png,masks/1_generation-iv_heartgold-soulsilver_front_default_mask.png,1,grass,poison,False,False,generation-i,monster,plant
sprite/1_generation-iv_heartgold-soulsilver_front_shiny.png,masks/1_generation-iv_heartgold-soulsilver_front_default_mask.png,1,grass,poison,False,False,generation-i,monster,plant
sprite/2_default_front_default.png,masks/2_default_front_default_mask.png,2,grass,poison,False,False,generation-i,monster,plant
sprite/2_default_front_shiny.png,masks/2_default_front_default_mask.png,2,grass,poison,False,False,generation-i,monster,plant
sprite/2_generation-iii_emerald_front_default.png,masks/2_generation-iii_emerald_front_default_mask.png,2,grass,poison,False,False,generation-i,monster,plant
sprite/2_generation-iii_emerald_front_shiny.png,masks/2_generation-iii_emerald_front_default_mask.png,2,grass,poison,False,False,generation-i,monster,plant
sprite/2_generation-iii_firered-leafgreen_front_default.png,masks/2_generation-iii_firered-leafgreen_front_default_mask.png,2,grass,poison,False,False,generation-i,monster,plant
sprite/2_generation-iii_firered-leafgreen_front_shiny.png,masks/2_generation-iii_firered-leafgreen_front_default_mask.png,2,grass,poison,False,False,generation-i,monster,plant
sprite/2_generation-iv_platinum_front_default.png,masks/2_generation-iv_platinum_front_default_mask.png,2,grass,poison,False,False,generation-i,monster,plant
sprite/2_generation-iv_platinum_front_shiny.png,masks/2_generation-iv_platinum_front_default_mask.png,2,grass,poison,False,False,generation-i,monster,plant
sprite/2_generation-iv_diamond-pearl_front_default.png,masks/2_generation-iv_platinum_front_default_mask.png,2,grass,poison,False,False,generation-i,monster,plant
sprite/2_generation-iv_diamond-pearl_front_shiny.png,masks/2_generation-iv_platinum_front_default_mask.png,2,grass,poison,False,False,generation-i,monster,plant
sprite/2_generation-iv_heartgold-soulsilver_front_default.png,masks/2_generation-iv_heartgold-soulsilver_front_default_mask.png,2,grass,poison,False,False,generation-i,monster,plant
sprite/2_generation-iv_heartgold-soulsilver_front_shiny.png,masks/2_generation-iv_heartgold-soulsilver_front_default_mask.png,2,grass,poison,False,False,generation-i,monster,plant
sprite/3_default_front_default.png,masks/3_default_front_default_mask.png,3,grass,poison,False,False,generation-i,monster,plant
sprite/3_default_front_shiny.png,masks/3_default_front_default_mask.png,3,grass,poison,False,False,generation-i,monster,plant
sprite/3_default_front_female.png,masks/3_default_front_default_mask.png,3,grass,poison,False,False,generation-i,monster,plant
sprite/3_generation-iii_emerald_front_default.png,masks/3_generation-iii_emerald_front_default_mask.png,3,grass,poison,False,False,generation-i,monster,plant
sprite/3_generation-iii_emerald_front_shiny.png,masks/3_generation-iii_emerald_front_default_mask.png,3,grass,poison,False,False,generation-i,monster,plant
sprite/3_generation-iii_firered-leafgreen_front_default.png,masks/3_generation-iii_firered-leafgreen_front_default_mask.png,3,grass,poison,False,False,generation-i,monster,plant
sprite/3_generation-iii_firered-leafgreen_front_shiny.png,masks/3_generation-iii_firered-leafgreen_front_default_mask.png,3,grass,poison,False,False,generation-i,monster,plant
sprite/3_generation-iv_platinum_front_default.png,masks/3_generation-iv_platinum_front_default_mask.png,3,grass,poison,False,False,generation-i,monster,plant
sprite/3_generation-iv_platinum_front_shiny.png,masks/3_generation-iv_platinum_front_default_mask.png,3,grass,poison,False,False,generation-i,monster,plant
sprite/3_generation-iv_diamond-pearl_front_shiny_female.png,masks/3_generation-iv_platinum_front_default_mask.png,3,grass,poison,False,False,generation-i,monster,plant
sprite/3_generation-iv_heartgold-soulsilver_front_default.png,masks/3_generation-iv_heartgold-soulsilver_front_default_mask.png,3,grass,poison,False,False,generation-i,monster,plant
sprite/3_generation-iv_heartgold-soulsilver_front_shiny.png,masks/3_generation-iv_heartgold-soulsilver_front_default_mask.png,3,grass,poison,False,False,generation-i,monster,plant
sprite/3_generation-iv_heartgold-soulsilver_front_shiny_female.png,masks/3_generation-iv_heartgold-soulsilver_front_default_mask.png,3,grass,poison,False,False,generation-i,monster,plant
sprite/4_default_front_default.png,masks/4_default_front_default_mask.png,4,fire,,False,False,generation-i,monster,dragon
sprite/4_default_front_shiny.png,masks/4_default_front_default_mask.png,4,fire,,False,False,generation-i,monster,dragon
sprite/4_generation-iii_emerald_front_default.png,masks/4_generation-iii_emerald_front_default_mask.png,4,fire,,False,False,generation-i,monster,dragon
sprite/4_generation-iii_emerald_front_shiny.png,masks/4_generation-iii_emerald_front_default_mask.png,4,fire,,False,False,generation-i,monster,dragon
sprite/4_generation-iii_firered-leafgreen_front_default.png,masks/4_generation-iii_firered-leafgreen_front_default_mask.png,4,fire,,False,False,generation-i,monster,dragon
sprite/4_generation-iii_firered-leafgreen_front_shiny.png,masks/4_generation-iii_firered-leafgreen_front_default_mask.png,4,fire,,False,False,generation-i,monster,dragon
sprite/4_generation-iv_platinum_front_default.png,masks/4_generation-iv_platinum_front_default_mask.png,4,fire,,False,False,generation-i,monster,dragon
sprite/4_generation-iv_platinum_front_shiny.png,masks/4_generation-iv_platinum_front_default_mask.png,4,fire,,False,False,generation-i,monster,dragon
sprite/4_generation-iv_heartgold-soulsilver_front_default.png,masks/4_generation-iv_heartgold-soulsilver_front_default_mask.png,4,fire,,False,False,generation-i,monster,dragon
sprite/5_default_front_default.png,masks/5_default_front_default_mask.png,5,fire,,False,False,generation-i,monster,dragon
sprite/5_default_front_shiny.png,masks/5_default_front_default_mask.png,5,fire,,False,False,generation-i,monster,dragon
sprite/5_generation-iii_emerald_front_default.png,masks/5_generation-iii_emerald_front_default_mask.png,5,fire,,False,False,generation-i,monster,dragon
sprite/5_generation-iii_emerald_front_shiny.png,masks/5_generation-iii_emerald_front_default_mask.png,5,fire,,False,False,generation-i,monster,dragon
sprite/5_generation-iii_firered-leafgreen_front_default.png,masks/5_generation-iii_firered-leafgreen_front_default_mask.png,5,fire,,False,False,generation-i,monster,dragon
sprite/5_generation-iii_firered-leafgreen_front_shiny.png,masks/5_generation-iii_firered-leafgreen_front_default_mask.png,5,fire,,False,False,generation-i,monster,dragon
sprite/5_generation-iv_platinum_front_default.png,masks/5_generation-iv_platinum_front_default_mask.png,5,fire,,False,False,generation-i,monster,dragon
sprite/5_generation-iv_platinum_front_shiny.png,masks/5_generation-iv_platinum_front_default_mask.png,5,fire,,False,False,generation-i,monster,dragon
sprite/5_generation-iv_heartgold-soulsilver_front_default.png,masks/5_generation-iv_heartgold-soulsilver_front_default_mask.png,5,fire,,False,False,generation-i,monster,dragon
sprite/5_generation-iv_heartgold-soulsilver_front_shiny.png,masks/5_generation-iv_heartgold-soulsilver_front_default_mask.png,5,fire,,False,False,generation-i,monster,dragon
sprite/6_default_front_default.png,masks/6_default_front_default_mask.png,6,fire,flying,False,False,generation-i,monster,dragon
sprite/6_default_front_shiny.png,masks/6_default_front_default_mask.png,6,fire,flying,False,False,generation-i,monster,dragon
sprite/6_generation-iii_emerald_front_default.png,masks/6_generation-iii_emerald_front_default_mask.png,6,fire,flying,False,False,generation-i,monster,dragon
sprite/6_generation-iii_emerald_front_shiny.png,masks/6_generation-iii_emerald_front_default_mask.png,6,fire,flying,False,False,generation-i,monster,dragon
sprite/6_generation-iii_firered-leafgreen_front_default.png,masks/6_generation-iii_firered-leafgreen_front_default_mask.png,6,fire,flying,False,False,generation-i,monster,dragon
sprite/6_generation-iii_firered-leafgreen_front_shiny.png,masks/6_generation-iii_firered-leafgreen_front_default_mask.png,6,fire,flying,False,False,generation-i,monster,dragon
sprite/6_generation-iv_heartgold-soulsilver_front_default.png,masks/6_generation-iv_heartgold-soulsilver_front_default_mask.png,6,fire,flying,False,False,generation-i,monster,dragon
sprite/6_generation-iv_heartgold-soulsilver_front_shiny.png,masks/6_generation-iv_heartgold-soulsilver_front_default_mask.png,6,fire,flying,False,False,generation-i,monster,dragon
sprite/7_default_front_default.png,masks/7_default_front_default_mask.png,7,water,,False,False,generation-i,monster,water1
sprite/7_default_front_shiny.png,masks/7_default_front_default_mask.png,7,water,,False,False,generation-i,monster,water1
sprite/7_generation-iii_emerald_front_default.png,masks/7_generation-iii_emerald_front_default_mask.png,7,water,,False,False,generation-i,monster,water1
sprite/7_generation-iii_emerald_front_shiny.png,masks/7_generation-iii_emerald_front_default_mask.png,7,water,,False,False,generation-i,monster,water1
sprite/7_generation-iii_firered-leafgreen_front_default.png,masks/7_generation-iii_firered-leafgreen_front_default_mask.png,7,water,,False,False,generation-i,monster,water1
sprite/7_generation-iv_platinum_front_shiny.png,masks/7_default_front_default_mask.png,7,water,,False,False,generation-i,monster,water1
sprite/7_generation-iv_heartgold-soulsilver_front_default.png,masks/7_generation-iv_heartgold-soulsilver_front_default_mask.png,7,water,,False,False,generation-i,monster,water1
sprite/8_default_front_default.png,masks/8_default_front_default_mask.png,8,water,,False,False,generation-i,monster,water1
sprite/8_default_front_shiny.png,masks/8_default_front_default_mask.png,8,water,,False,False,generation-i,monster,water1
sprite/8_generation-iii_emerald_front_default.png,masks/8_generation-iii_emerald_front_default_mask.png,8,water,,False,False,generation-i,monster,water1
sprite/8_generation-iii_emerald_front_shiny.png,masks/8_generation-iii_emerald_front_default_mask.png,8,water,,False,False,generation-i,monster,water1
sprite/8_generation-iii_firered-leafgreen_front_default.png,masks/8_generation-iii_firered-leafgreen_front_default_mask.png,8,water,,False,False,generation-i,monster,water1
sprite/8_generation-iii_firered-leafgreen_front_shiny.png,masks/8_generation-iii_firered-leafgreen_front_default_mask.png,8,water,,False,False,generation-i,monster,water1
sprite/8_generation-iv_platinum_front_default.png,masks/8_generation-iv_platinum_front_default_mask.png,8,water,,False,False,generation-i,monster,water1
sprite/8_generation-iv_platinum_front_shiny.png,masks/8_generation-iv_platinum_front_default_mask.png,8,water,,False,False,generation-i,monster,water1
sprite/8_generation-iv_heartgold-soulsilver_front_default.png,masks/8_generation-iv_heartgold-soulsilver_front_default_mask.png,8,water,,False,False,generation-i,monster,water1
sprite/8_generation-iv_heartgold-soulsilver_front_shiny.png,masks/8_generation-iv_heartgold-soulsilver_front_default_mask.png,8,water,,False,False,generation-i,monster,water1
sprite/9_default_front_default.png,masks/9_default_front_default_mask.png,9,water,,False,False,generation-i,monster,water1
sprite/9_default_front_shiny.png,masks/9_default_front_default_mask.png,9,water,,False,False,generation-i,monster,water1
sprite/9_generation-iii_emerald_front_default.png,masks/9_generation-iii_emerald_front_default_mask.png,9,water,,False,False,generation-i,monster,water1
sprite/9_generation-iii_emerald_front_shiny.png,masks/9_generation-iii_emerald_front_default_mask.png,9,water,,False,False,generation-i,monster,water1
sprite/9_generation-iii_firered-leafgreen_front_default.png,masks/9_generation-iii_firered-leafgreen_front_default_mask.png,9,water,,False,False,generation-i,monster,water1
sprite/9_generation-iii_firered-leafgreen_front_shiny.png,masks/9_generation-iii_firered-leafgreen_front_default_mask.png,9,water,,False,False,generation-i,monster,water1
sprite/9_generation-iv_platinum_front_default.png,masks/9_generation-iv_platinum_front_default_mask.png,9,water,,False,False,generation-i,monster,water1
sprite/9_generation-iv_platinum_front_shiny.png,masks/9_generation-iv_platinum_front_default_mask.png,9,water,,False,False,generation-i,monster,water1
sprite/9_generation-iv_heartgold-soulsilver_front_default.png,masks/9_generation-iv_heartgold-soulsilver_front_default_mask.png,9,water,,False,False,generation-i,monster,water1
sprite/9_generation-iv_heartgold-soulsilver_front_shiny.png,masks/9_generation-iv_heartgold-soulsilver_front_default_mask.png,9,water,,False,False,generation-i,monster,water1
sprite/10_default_front_default.png,masks/10_default_front_default_mask.png,10,bug,,False,False,generation-i,bug,
sprite/10_default_front_shiny.png,masks/10_default_front_default_mask.png,10,bug,,False,False,generation-i,bug,
sprite/10_generation-iii_emerald_front_default.png,masks/10_generation-iii_emerald_front_default_mask.png,10,bug,,False,False,generation-i,bug,
sprite/10_generation-iii_emerald_front_shiny.png,masks/10_generation-iii_emerald_front_default_mask.png,10,bug,,False,False,generation-i,bug,
sprite/10_generation-iii_firered-leafgreen_front_default.png,masks/10_generation-iii_firered-leafgreen_front_default_mask.png,10,bug,,False,False,generation-i,bug,
sprite/10_generation-iii_firered-leafgreen_front_shiny.png,masks/10_generation-iii_firered-leafgreen_front_default_mask.png,10,bug,,False,False,generation-i,bug,
sprite/10_generation-iv_platinum_front_default.png,masks/10_generation-iv_platinum_front_default_mask.png,10,bug,,False,False,generation-i,bug,
sprite/10_generation-iv_platinum_front_shiny.png,masks/10_generation-iv_platinum_front_default_mask.png,10,bug,,False,False,generation-i,bug,
sprite/10_generation-iv_heartgold-soulsilver_front_default.png,masks/10_generation-iv_heartgold-soulsilver_front_default_mask.png,10,bug,,False,False,generation-i,bug,
